kodikos,perigrafi,price,stock_softone,promitheftis,category,kathgoria,photo_url,container,q
ZCHROM0005,D201 ISOMAT AQUAMAT 25kg,29,29,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,25
ZCHROM0006,D201 ISOMAT AQUAMAT ELASTIC A 25kg,60,-3,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-16
ZCHROM0007,D201 ISOMAT AQUAMAT ELASTIC B 10kg,31,-6,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-19
ZCHROM0008,D201 ISOMAT ΚΟΛΛΑ ΑΚ9 25kg,7,7,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-4
ZCHROM0009,D201 INTERMIX 30kg,8,2926,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,2825
ZCHROM0010,D201 DUROSTICK  STOKOFIX 20kg,8,86,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,47
ZCHROM0011,D201 DUROSTICK  ΚΟΛΛΑ GOLD 25kg,15,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHROM0012,D201 ISOMAT ΙΝΕΣ 600gr,8,26,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,26
ZCHROM0013,D201 ISOLAC  BT 17kg,83,127,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,123
ZCHROM0014,D201 ISOMAC ΑΣΦΑΛΤΙΚΗ ΜΑΣΤΙΧΗ 20kg,91,5,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,5
ZCHROM0015,D201 ISOMAC ΑΣΦΑΛΤΙΚΗ ΜΑΣΤΙΧΗ 5kg,24,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHROM0016,D201 PAVA PROOF ΑΣΦΑΛΤΙΚΗ ΜΑΣΤΙΧΗ 5kg,0,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHROM0017,D201 TUBAX-ΜΟΥΡΕΛΑ 25cm,0,1100,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,700
ZCHROM0018,D201 TUBAX-ΜΟΥΡΕΛΑ 30cm,0,1400,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,1400
ZCHROM0019,"D201 ΑΔΙΑΒΡΟΧΟ ΒΕΡΝΙΚΙ ΝΕΡΟΥ DÉCOR 2,5lit",0,-5,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-5
ZCHROM0020,"D201 ΒΕΡΝΙΚΙ ΕΜΠΟΤΙΣΟΥ ΔΙΑΛΥΤΟΥ DÉCOR 2,5lit",8,4,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,3
ZCHROM0021,"D201 ΒΕΡΝΙΚΙ ΕΜΠΟΤΙΣΜΟΥ ΠΕΤΡΑΣ DELAC 2,5lit",22,4,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,4
ZCHROM0022,D201 ΑΦΡΟΣ ΠΟΛΥΟΥΡΕΘΑΝΗΣ ΠΙΣΤΟΛΙΟΥ,4,7,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-7
ZCHROM0023,D201 ΑΣΤΑΡΙ ΑΛΟΥΜΙΝΙΟΥ&ΓΑΛΒΑΝΙΖΕ DUROSTIC 750ml,10,-1,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-7
ZCHROM0024,D201 ΚΑΘΑΡΙΣΤΙΚΟ ΑΦΡΟΥ ΠΟΛΥΟΥΡΕΘΑΝΗΣ ISOMAT 400ml,5,3,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,1
ZCHROM0025,D201 TEAK OIL MERCOLA 1lit,0,3,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,3
ZCHROM0026,D201 ΣΙΛΙΚΟΝΗ MERCOLA ΒΑΦΗΣ,2,99,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,78
ZCHROM0027,D201 ΣΙΛΙΚΟΝΗ MERCOLA ΓΙΑ ΞΥΛΟ 280ml,0,1,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,1
ZCHROM0028,D201 MENTOR ΞΥΛΟΚΟΛΛΑ 5kg,0,2,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,2
ZCHROM0029,D201 ΣΠΡΕΥ ΚΟΚΚΙΝΟ FAST ACRYLIC,4,17,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,13
ZCHROM0030,D201 ΣΠΡΕΥ ΜΑΥΡΟ  FAST ACRYLIC,3,5,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,5
ZCHROM0031,D201 ΣΠΡΕΥ ΛΕΥΚΟ  FAST ACRYLIC,3,4,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,4
ZCHROM0032,D201 ΣΠΡΕΥ ΓΑΛΒΑΝΙΖΕ,3,16,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,14
ZCHROM0033,D201 ΡΑΜΜΑ ΟΙΚΟΔΟΜΗΣ,1,228,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,189
ZCHROM0034,D201 ΓΥΑΛΟΧΑΡΤΟ ΠΛΑΚΑ Νο100,0,-30,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-30
ZCHROM0035,D201 ΓΥΑΛΟΧΑΡΤΟ ΠΛΑΚΑ Νο120,0,-79,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-146
ZCHROM0036,D201 ΓΥΑΛΟΧΑΡΤΟ ΠΛΑΚΑ Νο150,1,398,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,383
ZCHROM0037,D201 ΓΥΑΛΟΧΑΡΤΟ ΠΛΑΚΑ Νο180,0,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-10
ZCHROM0038,D201 WHITE SPIRIT KRAFT 1lit,0,34,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,34
ZCHROM0039,D201 WHITE SPIRIT KRAFT 375ml,3,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHROM0040,"D202 ΒΕΛΑΤΟΥΡΑ ΑΣΤΑΡΙ ΝΕΡΟΥ 2,5lit",24,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM0041,D202 METAL PRIMER GREY 750ml,0,3,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,3
ZCHROM0042,D202 METAL PRIMER  ΛΕΥΚΟ 750ml,5,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,-1
ZCHROM0043,"D202 ΡΙΠΟΥΛΙΝΗ PLATINUM  ΛΕΥΟ ΣΑΤΙΝΕ 2,5lit",29,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM0044,D202 ΡΙΠΟΥΛΙΝΗ ΝΕΡΟΥ AQUA VIT ΛΕΥΚΟ ΣΑΤΙΝΕ 750lit,11,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM0045,D202 TEAK OIL 750lit (ΛΑΔΙ ΕΜΠΟΤΙΣΜΟΥ),0,13,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,13
ZCHROM0046,D202 ΑΝΤΙΣΚΟΥΡΙΑΚΟ ΜΑΥΡΟ 750lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM0047,D202 ΑΦΡΟΣΤΟΚΟΣ KNAUF 4lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM0048,D202 ΧΑΛΑΖΙΑΚΟ ΑΣΤΑΡΙ VITEX 10lit,26,-2,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,-2
ZCHROM0049,D202 ΧΑΛΑΖΙΑΚΟ ΑΣΤΑΡΙ VITEX 3lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM0050,D202 T300 ΔΥΑΛΙΤΙΚΟ ΠΙΝΕΛΟΥ VITEX 5lit,2,3,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,-1
ZCHROM0051,D202 T300 ΔΥΑΛΙΤΙΚΟ ΠΙΝΕΛΟΥ VITEX  15lit,0,3,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,3
ZCHROM0052,D202 VIVECHROME ΔΥΑΛΙΤΙΚΟ ΠΙΣΤΟΛΙΟΥ 4lit,0,3,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,3
ZCHROM0053,D202 ΑΣΤΑΡΙ KNAUF  ΝΕΡΟΥ 15lit,0,12,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,12
ZCHROM0054,D203 ΒΕΛΑΤΟΥΡΑ ΛΕΥΚΟ 750ml,5,6,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHROM0055,"D203 ΒΕΛΑΤΟΥΡΑ ΛΕΥΚΟ 2,5lit",0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0056,"D203 ΡΙΠΟΥΛΙΝΗ ΝΕΡΟΥ 2,5lit",0,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,3
ZCHROM0057,D203 ΝΤΟΥΚΟΧΡΩΜΑ ΜΑΥΡΟ ΣΑΤΙΝΕ 750ml,0,14,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,14
ZCHROM0058,D203 ΝΤΟΥΚΟΧΡΩΜΑ ΛΕΥΚΟ  ΣΑΤΙΝΕ 750ml,7,12,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,12
ZCHROM0059,"D203 ΝΤΟΥΚΟΧΡΩΜΑ ΜΑΥΡΟ ΣΑΤΙΝΕ 2,5lit",0,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHROM0060,"D203 ΝΤΟΥΚΟΧΡΩΜΑ ΛΕΥΚΟ ΣΑΤΙΝΕ 2,5lit",20,7,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,7
ZCHROM0061,"D203 ΑΣΤΑΡΙ ΑΛΟΥΜΙΝΙΟΥ & ΓΑΛΒΑΝΙΖΕ 2,5lit",19,1,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,1
ZCHROM0062,"D203 ΑΣΤΑΡΙ ΜΕΤΑΛΛΩΝ ΛΕΥΚΟ 2,5lit",20,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,3
ZCHROM0063,D203 ΑΣΤΑΡΙ ΜΕΤΑΛΛΩΝ ΛΕΥΚΟ 750ml,7,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-2
ZCHROM0064,D203 ΧΡΩΤΕΧ PRIME ΑΣΤΑΡΙ 3lit,12,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,1
ZCHROM0065,D203 ΧΡΩΤΕΧ PRIME ΑΣΤΑΡΙ 10lit,32,-3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-7
ZCHROM0066,D203 ΧΡΩΤΕΧ MOBILAC ΜΑΥΡΟ 750ml,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0067,D203 ΧΡΩΤΕΧ MOBILAC ΛΕΥΚΟ ΜΑΤ  750ml,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0068,D203 ΧΡΩΤΕΧ ADHEX ΑΣΤΑΡΙ ΠΡΟΕΡΓΑΣΙΑΣ ΜΕΤΑΛΛΩΝ Α 600ml,0,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,5
ZCHROM0069,D203 ΧΡΩΤΕΧ ADHEX ΑΣΤΑΡΙ ΠΡΟΕΡΓΑΣΙΑΣ ΜΕΤΑΛΛΩΝ B 150ml,0,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,5
ZCHROM0070,D203 ΧΡΩΤΕΧ ΒΕΡΝΙΚΙ ΘΑΛΑΣΣΗΣ 750ml,0,-3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-3
ZCHROM0071,D203 ΒΕΡΝΙΚΙ ΠΑΤΩΜΑΤΟΣ ER-LAC ΔΙΑΦΑΝΕΣ Α 1lit,0,11,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,11
ZCHROM0072,D203 ER-LAC ΣΚΛΗΡΥΝΤΗΣ Β 1lit,0,11,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,11
ZCHROM0073,D203 ΠΙΝΕΛΟ ΣΠΑΣΤΟ 2-1/2,0,4,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,4
ZCHROM0074,D203 ΒΑΣΕΙΣ ΡΟΛΟΥ ΒΑΦΗΣ,0,23,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,21
ZCHROM0075,D203 ΒΑΣΕΙΣ ΡΟΛΟΥ ΜΙΚΡΕΣ,0,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,3
ZCHROM0076,D203 ΡΟΛΟ ΒΑΦΗΣ ΧΩΡΙΣ ΒΑΣΗ 25cm,0,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,5
ZCHROM0077,"D203 ΠΙΝΕΛΟ ΒΑΦΗΣ Νο 1,5",2,-14,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-14
ZCHROM0078,D203 ΡΟΛΑΚΙ ΒΑΦΗΣ ΜΙΚΡΟ 10cm,1,47,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,22
ZCHROM0079,D203 MICROFIBER No16 Φ30,3,22,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,22
ZCHROM0080,D203 ΑΝΤ/ΚΟ MICROFIBER 10cm,2,283,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,283
ZCHROM0081,D203 ΧΕΙΡΟΛΑΒΗ 16cm,1,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0082,D203 ΧΕΙΡΟΛΑΒΗ ΓΙΑ 7cm & 10cm,1,28,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,28
ZCHROM0083,D203 CHARMER,13,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0085,D203 ΚΟΝΤΑΡΟΠΙΝΕΛΑ Νο 2.5'',5,7,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,7
ZCHROM0086,D203 ISOMAT AK-T35 ΓΚΡΙ Σ25 GR,8,49,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,49
ZCHROM0087,D203 ISOMAT AK-T35 ΛΕΥΚΗ Σ25 GR,8,-6,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-6
ZCHROM0088,D203 ΧΕΙΡΟΛΑΒΗ 5cm,1,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0089,D203 AQUACHROM ECO SATINE 30 WHITE 2.5LIT,37,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM0090,D203 SIKADUR-31+ (AB) PI 6KG,72,11,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,5
ZCHROM0091,D203 SIKA FLOUR 3 QUARTZ TOP 25KG,15,1183,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,1171
ZCHROM0092,D203 SIKADUR COMBIFLEX SG-10 P200,200,8,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHROM0093,D203 KNAUF READY FIX 28kg,21,9,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,9
ZCHROM0094G,D203 SIKA FLEX FC11 GREY 600gr,0,380,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,295
ZCHROM0094W,D203 SIKA FLEX FC11 WHITE600gr,0,139,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,107
ZCHROM0099,D203 ROLLEX No180 Φ50 ΠΛΗΡΗ,23,6,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHROM0100,D203 ΠΙΝΕΛΟ ΛΕΥΚΗ ΤΡΙΧΑ Νο 1.5'',2,33,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,32
ZCHROM0101,D201 ΑΣΦΑΛΤΙΚΗ ΠΑΣΤΑ,5,20,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,20
ZCHROM0102,D201 ΛΟΥΚΑΝΙΚΟ,9,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHROM103,D203 SIKASIL ΣΙΛΙΚΟΝΗ ΔΙΑΦΑΝΗ,4,24,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,24
ZCHROM104,D203 VIVEMETAL SATIN 30 WHITE 2.5L,23,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM105,D203 VIVEMETAL SATIN 30 WHITE 750ml,9,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM106,D203 ΓΥΑΛΟΧΑΡΤΟ Φ125,0,-30,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-30
ZCHROM107,D203 PRIMEX A-300 3lit,15,28,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,28
ZCHROM108,D203 PRIMEX A-300 10lit,42,20,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,20
ZCHROM115,D203 ΣΠΡΕΙ QUANTUM ΛΙΠΑΝΤΙΚΟ,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM116,D203 WD-40 SMART STRAW 450ml,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM117,D203 SIKACRYL UNIVERSAL PRO WHITE 300ml,0,50,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,50
ZCHROM118,D203 OPB 350 BASE C 1kg,9,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM207,D202 PELLACHROME MATT ΜΑΥΡΟ 750lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM900-20Y,D203 NEOPAL 10lit,37,7,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHROM910-10Y,D203 SUPER NEOPAL 10lit,0,-3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-3
ZCHROM910-10Y.1,D203 VIVECRYL ELASTIC 10L,0,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHROM20530YR,D203 VIVECRYL ELASTIC ECO BASE P 10LIT 205-30YR,58,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROM20570YR,D202 ACRYLAN ELASTIC 10lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM21010YR,D202 VIVECRYL ELASTIC 10lit,58,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM21020YR,D202 ACRYLAN ELASTIC 10lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM21030YR,D202 ACRYLAN ELASTIC 10lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM24030YR,D202 VIVECRYL ELASTIC 10lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROM24070YR,D203 VIVECRYL ELASTIC BASE 10L 210-70YR,0,1,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,1
ZCHROM90020Y,D202 VIVECRYL ELASTIC 10lit,0,-1,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,-1
ZCHROM90530Y,D202 ACRYLAN ELASTIC 10lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROMCL82,D203 NEOPAL 10lit,37,11,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,8
ZCHROMCL82.1,D203 VIVECRYL ELASTIC 10L,0,6,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHROMCL85,D203 NEOPAL 10lit,37,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-18
ZCHROMECO30,D203 SUPER NEOPAL ECO 30 WHITE 10L,37,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHROMECO9003,D203 VIVECRYL ELASTIC ECO RAL9003,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROMECORAL8014,D203 SUPER NEOPAL ECO BASE RAL8014 9.7L,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROMN0729,D203 TEAK OIL 750ml,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROMP,D203 SUPER NEOPLA ECO BASE P 10L,37,48,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,48
ZCHROMPRIMER,D203 ML-PRIMER,39,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROMRAL8014,D203 SUPER NEOPAL ECO BASE RAL8014 2.9L,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROMRAL9003,D203 SUPER NEOPAL ECO BASE P 10LIT RAL9003,52,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHROMS86,D203 ΧΡΩΜΑ ΒΕΡΝΙΚΙ ER-LAC ΛΕΥΚΟ ΣΑΤΙΝΕ A  4lit,0,,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,0
ZCHROMS86SKL,D203 ΧΡΩΜΑ ΒΕΡΝΙΚΙ ER- LAC ΣΚΛΥΡΗΝΤΗΣ Β  2lit,0,4,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,4
ZCHROMS1000-N,D203 VIVECRYL ELASTIC ECO BASE P 10LIT,52,16,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,16
ZCHROMVERN0001,D204 ΒΕΡΝΙΚΙ BONDEX 20lit,0,,D204,ΧΡΩΜΑΤΑ,ΣΤΑΥΡΑΚΑΣ,,,0
ZCHROMWHITE,D202 ACRYLAN ELASTIC 10lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCHROMΝο55,D202 ΝΤΟΥΚΟΧΡΩΜΑ ΜΑΥΡΟ ΓΥΑΛΙΣΤΕΡΟ 750lit,0,,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,0
ZCM22PWU,D198 ΣΕΤ ΔΙΑΚΟΠΤΩΝ,0,,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,0
ZCM23SB-U,D198 ΣΕΤ ΠΡΙΖΩΝ,0,18,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,18
