kodikos,perigrafi,price,stock_softone,promitheftis,category,kathgoria,photo_url,container,q
L3251,I59 LED ΤΑΙΝΙΑ 220V 100Μ/ROLL IP65 ΘΕΡΜΟ ΛΕΥΚΟ,5,3,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3251.png,,3
L3251.1,I59 ΑΝΟΡΘΩΤΗΣ LED ΤΑΙΝΙΑΣ 220V,0,50,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3251.1.png,,50
L3252,I59 ΠΡΟΒΟΛΑΚΙ ΚΗΠΟΥ 3W LED 43Χ245ΜΜ IP65 ΜΕ ΚΑΡΦΙ ΘΕΡΜΟ ΛΕΥΚΟ,14,74,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3252.png,,73
L3253,I59 ΠΡΟΒΟΛΕΑΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 3W LED 190Χ65ΜΜ IP65 ΜΕ ΣΤΡΟΓΓΥΛΗ ΒΑΣΗ ΘΕΡΜΟ ΛΕΥΚΟ,16,86,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3253.png,,86
L3254,I59 ΠΡΟΒΟΛΑΚΙ ΚΗΠΟΥ 7W LED 88Χ190ΜΜ IP65 ΜΕ ΣΤΡΟΓΓΥΛΗ ΒΑΣΗ ΘΕΡΜΟ ΛΕΥΚΟ,36,169,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3254.png,,168
L3255B,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 6W UP & DOWN LED 175Χ90ΜΜ IP65 ΘΕΡΜΟ ΛΕΥΚΟ,45,-16,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3255B.png,,-16
L3255W,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 6W UP & DOWN LED 175Χ90ΜΜ IP65 ΘΕΡΜΟ ΛΕΥΚΟ,45,160,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3255W.png,,154
L3256B,I59 ΚΡΕΜΑΣΤΟ ΦΩΤΙΣΤΙΚΟ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ ΣΩΛΗΝΑΣ 18W 1200X70X70MM ΘΕΡΜΟ ΛΕΥΚΟ,38,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3256B.png,,0
L3256W,I59 ΚΡΕΜΑΣΤΟ ΦΩΤΙΣΤΙΚΟ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ ΣΩΛΗΝΑΣ 18W 1200X70X70MM ΘΕΡΜΟ ΛΕΥΚΟ,38,-27,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3256W.png,,-27
L3257B,"ΡΟΖΕΤΑ 100ΜΜ ΜΕ ΚΑΛΩΔΙΟ 1,2Μ ΚΑΙ ΝΤΟΥΙ Ε27",10,165,,ΗΛΕΚΤΡΟΜΗΧ/ΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,ΗΛΕΚΤΡΟΜΗΧ/ΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3257B.png,,165
L3257W,"ΡΟΖΕΤΑ 100ΜΜ ΜΕ ΚΑΛΩΔΙΟ 1,2Μ ΚΑΙ ΝΤΟΥΙ Ε27",10,180,,ΗΛΕΚΤΡΟΜΗΧ/ΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,ΗΛΕΚΤΡΟΜΗΧ/ΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3257W.png,,180
L3258,I160 ΛΑΜΠΤΗΡΑΣ LED E27 8W 2700K AMBER GLASS NO DIMMABLE,4,,I160,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3258.png,,0
L3259,I160ΛΑΜΠΤΗΡΑΣ LED E27 8W 2700K AMBER GLASS NO DIMMABLE,5,,I160,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3259.png,,0
L3260B,I162 ΣΠΟΤ ΟΡΟΦΗΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 120Χ78ΜΜ ΜΕ GU10 5W IP65 ΘΕΡΜΟ,58,14,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3260B.png,,14
L3260W,I162 ΣΠΟΤ ΟΡΟΦΗΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 120Χ78ΜΜ ΜΕ GU10 5W IP65 ΘΕΡΜΟ,58,3,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3260W.png,,3
