Code_,Name,Quantity reserved,OIK,Date,MASTER CODES,KODIKOS (from MASTER CODES),DESCRIPTION,Photo,EDIT BY,REMAINING,CATEGORY (from MASTER CODES),Created
ZBATH003W,NIKI,"60,0",OIK105,4/11/2025,ZBATH003W,ZBATH003W,I258 HIDDEN WATER TANK WITH ABS WHITE BUTTON 1080X510X80MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/qUWQgdn8u-1fYOAkV-_0fQ/o5dm_H1uumMuBPtzryaa45yATmao8wKjQTjfZfsRT54yS6O4qkFdk-IMcC1nmGPkNceQOm8Le0_W4edbGM_npNTCFNhEJK5imLxrdDQcqYRSWbmqbztjPcsRQghnC7YFMGbODtiHre0_k9oZeoLvsw/uZ0lgyy_Q6cg9pKozN4yPtD6bGVdyg83wH01e3eeaLc),NIKI,"50,0",ΜΠΑΝΙΟ,11/4/2025 4:02pm
ZBATH001,NIKI,"10,0",OIK5.11.1,4/11/2025,ZBATH001,ZBATH001, I258 WALL HUNG TOILET UF SEAT COVER P-TRAP180MM RIMLESS 490X360X360MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/97PEZ-QqWfpRu13VqHa5cg/xBeLViCEVYG5b3Etr6gXZ3-71IuTuWjYbMuqQv1I1rk9xKLNHZ-pMwdd3TpyYI-E1dd8Kr2C7dgroQ-K7lc-H0GM8FE_UrUyTfLpt9DPV6rGwGMrITsMhL4Jd3sDelvMEIpa0TQ-NqR0dsRXqAKUoA/06kx7rp_Gs90yT86Jhs4TbkKbx7c-YZZnMpdXQiHE2o),,"47,0",ΜΠΑΝΙΟ,11/4/2025 4:01pm
ZBATH001,NIKI,"60,0",OIK105,4/11/2025,ZBATH001,ZBATH001, I258 WALL HUNG TOILET UF SEAT COVER P-TRAP180MM RIMLESS 490X360X360MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/97PEZ-QqWfpRu13VqHa5cg/xBeLViCEVYG5b3Etr6gXZ3-71IuTuWjYbMuqQv1I1rk9xKLNHZ-pMwdd3TpyYI-E1dd8Kr2C7dgroQ-K7lc-H0GM8FE_UrUyTfLpt9DPV6rGwGMrITsMhL4Jd3sDelvMEIpa0TQ-NqR0dsRXqAKUoA/06kx7rp_Gs90yT86Jhs4TbkKbx7c-YZZnMpdXQiHE2o),,"47,0",ΜΠΑΝΙΟ,11/4/2025 4:00pm
ZSAKF,ELLI,"13,0",OIK109,,ZSAKF,ZSAKF,I122 ΜΠΑΤΑΡΙΑ ΝΕΡΟΧΥΤΗ ΚΟΥΖΙΝΑΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/_aoKVLUR2juXFMKy-LgI_w/b4G5zJhCM7pH2r7dLhCj8zNYKSrC8gTS8xjJyo50ucmwhryOlfhAPXzvEMQV0BHDqgJU9-1WeNEExG21d8dpLL-svbx0l44S4317GdpTb9yJF85RvQuXsluD6r0ctgcen_usJA9SYzToLJVt4AghnA/okyDrvg3xR6sYHCJtuCE71pjoaUDPlgndCIYqfyE2zk),,"34,0",ΚΟΥΖΙΝΑ,11/4/2025 3:58pm
ZSAKFB,ELLI,"2,0",OIK102,,ZSAKFB,ZSAKFB,I122 ΜΠΑΤΑΡΙΑ ΝΕΡΟΧΥΤΗ ΚΟΥΖΙΝΑΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/s41koOFyTjVA2vsgaM_Mwg/6Tf-K7-Ny7F_l16-mpwTh8ksaqLSepz52udgiXA1BqCDAvi381XYqoE6l_IlSZRpzT9zrUBaXbHRF3PSFqnd_LR3JAnApJ49FBPoyBgUpzcoPLRITOs1ityl4gNxgP8dS4_j3-ImqFkNdFvsp-tRBw/gxrGfTq9T1s9ISJ72eLmaRvuuJN__wugw8yURiFqh0Y),,"12,0",ΚΟΥΖΙΝΑ,11/4/2025 3:57pm
ZBATH014,NIKI,"10,0",OIK5.11.1,4/11/2025,ZBATH014,ZBATH014,I165 CONCEALED BIDET MIXER WATER JET,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Lmvoph9SUKQ5HAkGAtZQtQ/FURQFCdguwT1prPxsh19-wPnOg4yM47mscHQQrcGXfWQZjkBgP5ogT2RO-NGoMC8fpKaQZRnn0G9a3xY4cqpjLtX5c_ZtwDBg4L5mKNQ0g83iv1QpI99pnPIUfUvKdtDyXYjomR4Crp6cg_P9nrt6Q/35Q8UFWFfWGS46J-Umw42zcVty8Y2S2ZNucmhHuznm8),,"26,0",ΜΠΑΝΙΟ,11/4/2025 3:56pm
B4051,ELLI,"30,0",OIK109,,B4051,B4051,I135 Bibcock Satin V912C 01 16 2,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/hJgg5j9FQpIOlU5D9lC1_g/pPLi7dEJ6XP0DN991m4DfIsmXNw5oUHpf_c2dGO4OjX0YeR3NVED2N2cNAdKp_LVhFWKxEd6srV2FJYcQzfeWj-Xu5NHLKUWL4SnfT9VUfuAUpo2AST996N1bocbbGhOgBBZ0EEbZKGVk01muOV0fA/3ZDhnSFUk3alI0sJAQ3L0gsSAStOEbiH7n-xOcgjcVc),,"135,0",ΜΠΑΝΙΟ,11/4/2025 3:53pm
ZBATH014,NIKI,"60,0",OIK105,4/11/2025,ZBATH014,ZBATH014,I165 CONCEALED BIDET MIXER WATER JET,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Lmvoph9SUKQ5HAkGAtZQtQ/FURQFCdguwT1prPxsh19-wPnOg4yM47mscHQQrcGXfWQZjkBgP5ogT2RO-NGoMC8fpKaQZRnn0G9a3xY4cqpjLtX5c_ZtwDBg4L5mKNQ0g83iv1QpI99pnPIUfUvKdtDyXYjomR4Crp6cg_P9nrt6Q/35Q8UFWFfWGS46J-Umw42zcVty8Y2S2ZNucmhHuznm8),,"26,0",ΜΠΑΝΙΟ,11/4/2025 3:53pm
ZBATH009,NIKI,"10,0",OIK5.11.1,4/11/2025,ZBATH009,ZBATH009,I165 IN WALL SHOWER SET,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/N8S5CoP6HCTPTMywGj2HRw/dNe64P4HYTga60MFk1vPDF0ha0xbs_piNhjbvBs-cR6mGo19mSkqrLSMviR68PbuIG3kWqrAYho3l_KlfWzzkyO3An-GIPv31ZbCoxsSFWKTKMrukpVwvN-B-k1tV0p6o464QgR-8LE0CLv383eSLA/h8VhR5i4eIRWJ3GZEpj0Xbise-l7CeM66jeli1wdpsA),,"32,0",ΜΠΑΝΙΟ,11/4/2025 3:51pm
ZBATH009,NIKI,"50,0",OIK105,4/11/2025,ZBATH009,ZBATH009,I165 IN WALL SHOWER SET,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/N8S5CoP6HCTPTMywGj2HRw/dNe64P4HYTga60MFk1vPDF0ha0xbs_piNhjbvBs-cR6mGo19mSkqrLSMviR68PbuIG3kWqrAYho3l_KlfWzzkyO3An-GIPv31ZbCoxsSFWKTKMrukpVwvN-B-k1tV0p6o464QgR-8LE0CLv383eSLA/h8VhR5i4eIRWJ3GZEpj0Xbise-l7CeM66jeli1wdpsA),,"32,0",ΜΠΑΝΙΟ,11/4/2025 3:50pm
